	X24_mean	p0_mean	theta	prob	log2FC	length	P	ncbi_id
lcl|NC_013967.1_cds_WP_004041430.1_2558	110.747332590489	404.27027411236	-1.26244192854005	0.991219695537622	-1.86804817541302	620	0.00878030446237821	lcl|NC_013967.1_cds_WP_004041430.1_2558
lcl|NC_013967.1_cds_WP_004043559.1_2393	13.4969425538986	13.5921798526323	-0.0045745903279976	0.000419834663798024	-0.0101442152773998	1676	0.999580165336202	lcl|NC_013967.1_cds_WP_004043559.1_2393
lcl|NC_013967.1_cds_WP_004045000.1_1098	3.80540866528784	5.37655960444302	-0.130139030922714	0.354505613677903	-0.498631910885219	1085	0.645494386322097	lcl|NC_013967.1_cds_WP_004045000.1_1098
lcl|NC_013967.1_cds_WP_004043563.1_2389	25.9779883327527	37.9502958959404	-0.216202718627602	0.652460413232402	-0.546821417689162	383	0.347539586767598	lcl|NC_013967.1_cds_WP_004043563.1_2389
lcl|NC_013967.1_cds_WP_004043565.1_2387	25.5906898004347	35.9257799765093	-0.22431580266279	0.672699603773269	-0.489400443111906	1661	0.327300396226731	lcl|NC_013967.1_cds_WP_004043565.1_2387
lcl|NC_013967.1_cds_WP_004043568.1_2384	11.3648179801747	7.34633548647476	0.221194246399726	0.662939922624507	0.629477891512192	905	0.337060077375493	lcl|NC_013967.1_cds_WP_004043568.1_2384
lcl|NC_013967.1_cds_WP_004042348.1_3420	137.828206470228	434.695735768473	-1.88987600237856	0.995123224106741	-1.65713477824912	266	0.00487677589325919	lcl|NC_013967.1_cds_WP_004042348.1_3420
lcl|NC_013967.1_cds_WP_004041612.1_2722	2.45855979018294	6.3243689663183	-0.545186472543076	0.935527337118448	-1.3631080968207	2087	0.0644726628815518	lcl|NC_013967.1_cds_WP_004041612.1_2722
lcl|NC_013967.1_cds_WP_004043571.1_2381	118.2473080515	95.7405908592838	0.227077251232594	0.676550937344942	0.304604725660396	803	0.323449062655058	lcl|NC_013967.1_cds_WP_004043571.1_2381
lcl|NC_013967.1_cds_WP_004041718.1_2816	603.887872539949	4168.49680098302	-10.8712584710269	1	-2.78717462235387	302	0	lcl|NC_013967.1_cds_WP_004041718.1_2816
lcl|NC_013967.1_cds_WP_004043572.1_2380	3.52935486440269	7.51637913648496	-0.346444529038609	0.847890656114952	-1.09063334471411	581	0.152109343885048	lcl|NC_013967.1_cds_WP_004043572.1_2380
lcl|NC_013967.1_cds_WP_004042231.1_3316	28.0536888876023	12.2150405299553	0.598627709367487	0.960678384293987	1.19953183830676	659	0.0393216157060126	lcl|NC_013967.1_cds_WP_004042231.1_3316
lcl|NC_013967.1_cds_WP_004043574.1_2378	0.459040989195358	1.23551044020465	-0.522932713464711	0.931913014495121	-1.42841231443278	1187	0.0680869855048786	lcl|NC_013967.1_cds_WP_004043574.1_2378
lcl|NC_013967.1_cds_WP_004043829.1_2132	0.342530252964143	25.9804127738755	-1.3960528700679	0.992966196330863	-6.24504912667708	224	0.00703380366913708	lcl|NC_013967.1_cds_WP_004043829.1_2132
lcl|NC_013967.1_cds_WP_049914877.1_2375	1.18534923907148	0.733275446261461	0.171701370362075	0.527267673392844	0.692885045901021	1019	0.472732326607156	lcl|NC_013967.1_cds_WP_049914877.1_2375
lcl|NC_013967.1_cds_WP_004043582.1_2371	6.67042770336473	14.6729533292424	-0.484625438938025	0.921572322758528	-1.13730810755823	1748	0.0784276772414725	lcl|NC_013967.1_cds_WP_004043582.1_2371
lcl|NC_013967.1_cds_WP_004043583.1_2370	2.90279875393341	1.3217361617124	0.394597857221127	0.883659751088211	1.13501033375753	1652	0.116340248911789	lcl|NC_013967.1_cds_WP_004043583.1_2370
lcl|NC_013967.1_cds_WP_013035359.1_3526	219.739729297249	46.5160297112445	1.29584512624756	0.992134365387244	2.23999586629268	344	0.00786563461275624	lcl|NC_013967.1_cds_WP_013035359.1_3526
lcl|NC_013966.1_cds_WP_013035085.1_722	326.914706661653	18.244578123051	3.03822520230255	0.999999999999999	4.1633745835977	443	6.66133814775094e-16	lcl|NC_013966.1_cds_WP_013035085.1_722
lcl|NC_013967.1_cds_WP_004043596.1_2356	1043.80648848945	425.809044264595	1.1806029802308	0.997027088627327	1.29357577680792	335	0.00297291137267319	lcl|NC_013967.1_cds_WP_004043596.1_2356
lcl|NC_013966.1_cds_WP_004043410.1_492	4.27939381769469	1.66464346483873	0.60031000597154	0.96083478228141	1.36219323888809	881	0.0391652177185896	lcl|NC_013966.1_cds_WP_004043410.1_492
lcl|NC_013967.1_cds_WP_004041622.1_2733	211.571902467705	97.9476202833155	0.792573394762016	0.978393863307326	1.11106569834004	368	0.021606136692674	lcl|NC_013967.1_cds_WP_004041622.1_2733
lcl|NC_013967.1_cds_WP_004041634.1_2745	2.24814253248479	128.304801921757	-2.63771778339238	1	-5.83469784987925	2585	2.22044604925031e-16	lcl|NC_013967.1_cds_WP_004041634.1_2745
lcl|NC_013967.1_cds_WP_004043790.1_2171	911.965101682981	2542.51059463232	-5.09538504092917	1	-1.4792032630873	467	0	lcl|NC_013967.1_cds_WP_004043790.1_2171
lcl|NC_013967.1_cds_WP_013035586.1_2365	1.74808384755166	2.49201511048925	-0.205527439562407	0.623754441189168	-0.51153843030823	2354	0.376245558810832	lcl|NC_013967.1_cds_WP_013035586.1_2365
lcl|NC_013964.1_cds_WP_004041381.1_242	2.5601275782168	0.788505563067327	0.483769068816233	0.929359180400173	1.69902286681715	1733	0.0706408195998266	lcl|NC_013964.1_cds_WP_004041381.1_242
lcl|NC_013967.1_cds_WP_049914891.1_1866	18.8002799323111	13.8625023121638	0.211206749890087	0.63844855518187	0.439566442478046	1112	0.36155144481813	lcl|NC_013967.1_cds_WP_049914891.1_1866
lcl|NC_013967.1_cds_WP_004043588.1_2364	84.955772482533	267.273833996088	-1.20935688402732	0.985244425750291	-1.65353472268551	383	0.0147555742497091	lcl|NC_013967.1_cds_WP_004043588.1_2364
lcl|NC_013967.1_cds_WP_013035651.1_2801	47.9858321335231	58.3271064770109	-0.167432712095055	0.498487457278035	-0.281557994419122	428	0.501512542721965	lcl|NC_013967.1_cds_WP_013035651.1_2801
lcl|NC_013967.1_cds_WP_004043594.1_2358	131.888189891152	303.096223036482	-1.19732603782085	0.984191469387156	-1.20046049215632	716	0.0158085306128444	lcl|NC_013967.1_cds_WP_004043594.1_2358
lcl|NC_013967.1_cds_WP_004043597.1_2355	0.342530252964143	7.81372734972038	-1.83730476165711	0.995409201113754	-4.51170759479939	659	0.00459079888624603	lcl|NC_013967.1_cds_WP_004043597.1_2355
lcl|NC_013967.1_cds_WP_004043598.1_2354	30.9448098091531	40.3481699022404	-0.177609231627086	0.535195010374321	-0.382805782764491	1109	0.464804989625679	lcl|NC_013967.1_cds_WP_004043598.1_2354
