	X00_mean	X08_mean	theta	prob	log2FC	length	P	ncbi_id
lcl|NC_013967.1_cds_WP_004041423.1_2551	238.035154831078	177.603275756516	0.355901996300151	0.915002261470724	0.422516466038661	698	0.0849977385292756	lcl|NC_013967.1_cds_WP_004041423.1_2551
lcl|NC_013967.1_cds_WP_004041422.1_2550	85.7271862324828	61.7624016427195	0.289295405291734	0.871818492730099	0.473023938370755	386	0.128181507269901	lcl|NC_013967.1_cds_WP_004041422.1_2550
lcl|NC_013967.1_cds_WP_004041558.1_2670	3.04281321176433	5.41781308029101	-0.324707647290635	0.908233543313717	-0.832304845750805	1076	0.0917664566862831	lcl|NC_013967.1_cds_WP_004041558.1_2670
lcl|NC_013967.1_cds_WP_004043750.1_2210	333.327841123545	313.033293864381	0.0950124246102386	0.404017832734021	0.0906257145000378	839	0.595982167265979	lcl|NC_013967.1_cds_WP_004043750.1_2210
lcl|NC_013967.1_cds_WP_004041421.1_2549	97.4594310589317	123.160091248896	-0.24087216583318	0.849835582896711	-0.337661135768836	275	0.150164417103289	lcl|NC_013967.1_cds_WP_004041421.1_2549
lcl|NC_013967.1_cds_WP_008574128.1_2398	199.491869231534	333.782914221308	-0.556161197266519	0.963582141940552	-0.742580160331963	320	0.0364178580594482	lcl|NC_013967.1_cds_WP_008574128.1_2398
lcl|NC_013967.1_cds_WP_013035654.1_2544	30.4098890137834	3.47838669478642	1.06699859758013	0.99288643948768	3.12805031887701	1760	0.00711356051232004	lcl|NC_013967.1_cds_WP_013035654.1_2544
lcl|NC_013967.1_cds_WP_004041415.1_2543	5.44769886166127	0.643170597251333	1.22338821150989	0.991086274924877	3.08237359626707	1202	0.00891372507512289	lcl|NC_013967.1_cds_WP_004041415.1_2543
lcl|NC_013967.1_cds_WP_013035288.1_2541	1343.73322722284	1132.15338108869	0.23873283199581	0.828533546104926	0.247177322927482	188	0.171466453895074	lcl|NC_013967.1_cds_WP_013035288.1_2541
lcl|NC_013967.1_cds_WP_004041412.1_2540	42.2084978524281	15.236884037026	0.755786488605629	0.978243691797431	1.46996558655264	554	0.0217563082025689	lcl|NC_013967.1_cds_WP_004041412.1_2540
lcl|NC_013967.1_cds_WP_004041409.1_2538	7.04208874702347	3.31531328065087	0.453508093867935	0.943775115494949	1.08685820439493	1292	0.0562248845050514	lcl|NC_013967.1_cds_WP_004041409.1_2538
lcl|NC_013967.1_cds_WP_013035575.1_2535	119.068726805953	142.631810913517	-0.238107266656909	0.847587454299453	-0.260501237709536	887	0.152412545700547	lcl|NC_013967.1_cds_WP_013035575.1_2535
lcl|NC_013967.1_cds_WP_004041414.1_2542	22.9672925733098	6.20678952684736	0.990569520096897	0.983835267002561	1.8876616693356	680	0.0161647329974394	lcl|NC_013967.1_cds_WP_004041414.1_2542
lcl|NC_013967.1_cds_WP_004041405.1_2534	374.430799965772	485.17167159135	-0.431744235538793	0.950523454917463	-0.373796203075804	731	0.0494765450825368	lcl|NC_013967.1_cds_WP_004041405.1_2534
lcl|NC_013967.1_cds_WP_013035321.1_2526	14.4507110903074	29.9024427314509	-0.532970024440993	0.961633197374027	-1.04912285645697	1169	0.0383668026259727	lcl|NC_013967.1_cds_WP_013035321.1_2526
lcl|NC_013967.1_cds_WP_013035422.1_2525	25.094359632237	35.5730587829765	-0.272033491577508	0.877389732779019	-0.503421899919529	911	0.122610267220981	lcl|NC_013967.1_cds_WP_013035422.1_2525
lcl|NC_013966.1_cds_WP_004043406.1_496	0.651938028869632	5.33148764959424	-0.687627717866488	0.98276472658084	-3.03173140745838	416	0.0172352734191599	lcl|NC_013966.1_cds_WP_004043406.1_496
lcl|NC_013967.1_cds_WP_004043845.1_2117	28.0957666261499	24.1663023361645	0.0856702201043203	0.348404575832985	0.217356021935956	626	0.651595424167015	lcl|NC_013967.1_cds_WP_004043845.1_2117
lcl|NC_013967.1_cds_WP_004063281.1_2524	397.741666832839	213.683557008446	1.23762296854936	0.991206339764227	0.896355808070591	326	0.00879366023577299	lcl|NC_013967.1_cds_WP_004063281.1_2524
lcl|NC_013967.1_cds_WP_081442897.1_2519	24.267059613441	7.46619985676657	0.602963261909964	0.969825299932744	1.700553278248	1139	0.030174700067256	lcl|NC_013967.1_cds_WP_081442897.1_2519
lcl|NC_013967.1_cds_WP_004043427.1_2518	5.55498996287847	7.75074731749914	-0.212566653913018	0.821827294847648	-0.480551115109913	1763	0.178172705152352	lcl|NC_013967.1_cds_WP_004043427.1_2518
lcl|NC_013967.1_cds_WP_004044194.1_1781	14.0043187292135	24.0536536236795	-0.417654960010884	0.947367974479613	-0.78038424638469	1349	0.0526320255203873	lcl|NC_013967.1_cds_WP_004044194.1_1781
lcl|NC_013967.1_cds_WP_004043429.1_2516	21.2735699910412	40.5900958928689	-0.460698782441242	0.951079919687168	-0.932065591124776	1046	0.0489200803128322	lcl|NC_013967.1_cds_WP_004043429.1_2516
lcl|NC_013967.1_cds_WP_004043432.1_2513	21.4453298970274	41.1346412299567	-0.483213214516844	0.954058857377852	-0.939690351239194	608	0.0459411426221483	lcl|NC_013967.1_cds_WP_004043432.1_2513
lcl|NC_013967.1_cds_WP_004041591.1_2702	82.0816148888243	66.6089540824887	0.176504049417411	0.721286343176811	0.301342986693364	431	0.278713656823189	lcl|NC_013967.1_cds_WP_004041591.1_2702
lcl|NC_013967.1_cds_WP_004043433.1_2512	0.651938028869632	1.58745597103922	-0.6074069361655	0.972346881992893	-1.28390984036248	974	0.0276531180071067	lcl|NC_013967.1_cds_WP_004043433.1_2512
lcl|NC_013967.1_cds_WP_004041640.1_2751	73.7921020305852	15.3201640455712	1.04505333298844	0.989621054085433	2.2680346674183	536	0.0103789459145675	lcl|NC_013967.1_cds_WP_004041640.1_2751
lcl|NC_013967.1_cds_WP_004043435.1_2510	1.04540533372864	1.23037366049269	-0.0734487481567037	0.304622938853594	-0.23503409876004	917	0.695377061146406	lcl|NC_013967.1_cds_WP_004043435.1_2510
lcl|NC_013967.1_cds_WP_004043437.1_2508	5.55818614753881	18.957748588983	-0.598875225195194	0.971208831329374	-1.77010158347333	464	0.0287911686706259	lcl|NC_013967.1_cds_WP_004043437.1_2508
lcl|NC_013967.1_cds_WP_004041758.1_2860	3360.32485085782	839.105126074466	4.96996825342844	1	2.0016772355528	296	0	lcl|NC_013967.1_cds_WP_004041758.1_2860
lcl|NC_013967.1_cds_WP_004044645.1_3783	0.651938028869632	9.99837771888833	-0.883253805527097	0.990584198810016	-3.93888729206932	383	0.00941580118998431	lcl|NC_013967.1_cds_WP_004044645.1_3783
lcl|NC_013967.1_cds_WP_004042691.1_3572	37.6873830904007	17.0782688165174	0.649685546641777	0.973857252984843	1.14191988184616	449	0.0261427470151573	lcl|NC_013967.1_cds_WP_004042691.1_3572
lcl|NC_013967.1_cds_WP_004043438.1_2507	40.6126427664345	35.6540226634826	0.0627680668075403	0.202129459081526	0.187864052243889	269	0.797870540918474	lcl|NC_013967.1_cds_WP_004043438.1_2507
lcl|NC_013967.1_cds_WP_004041401.1_2530	122.463965825419	217.285141253969	-0.808093972060729	0.985342910648521	-0.827232212537109	914	0.014657089351479	lcl|NC_013967.1_cds_WP_004041401.1_2530
lcl|NC_013967.1_cds_WP_004043439.1_2506	6.89813245529337	6.02064920470882	0.0834625894563756	0.334703182352778	0.196286770416457	1697	0.665296817647222	lcl|NC_013967.1_cds_WP_004043439.1_2506
lcl|NC_013967.1_cds_WP_004044788.1_3894	1.48357752870418	2.06114656838006	-0.15627176134359	0.707697175271839	-0.474366777684798	1328	0.292302824728161	lcl|NC_013967.1_cds_WP_004044788.1_3894
lcl|NC_013967.1_cds_WP_004044585.1_1404	1.60700730678561	4.85734309549964	-0.479638808006551	0.953392979776543	-1.59579090514082	1226	0.0466070202234574	lcl|NC_013967.1_cds_WP_004044585.1_1404
lcl|NC_013967.1_cds_WP_004041823.1_2922	3.19506314556058	1.88420396350723	0.37108440703368	0.921918659448972	0.761889300187264	2240	0.0780813405510282	lcl|NC_013967.1_cds_WP_004041823.1_2922
lcl|NC_013967.1_cds_WP_004042318.1_3401	3.11293191223275	2.18593136068644	0.143079345917544	0.617677168833619	0.510025921337561	1061	0.382322831166381	lcl|NC_013967.1_cds_WP_004042318.1_3401
lcl|NC_013966.1_cds_476	80.7220640635115	305.860314483581	-1.35724495066812	0.992852993425803	-1.92183795894756	224	0.00714700657419742	lcl|NC_013966.1_cds_476
lcl|NC_013967.1_cds_WP_013035585.1_2505	129.721036581894	82.4355888900569	0.486381310975647	0.949506585231723	0.654073243552328	476	0.0504934147682765	lcl|NC_013967.1_cds_WP_013035585.1_2505
lcl|NC_013967.1_cds_WP_004041892.1_2986	2.58918004016913	3.35363389569598	-0.138849178036137	0.65005250911246	-0.373229916222354	1757	0.34994749088754	lcl|NC_013967.1_cds_WP_004041892.1_2986
lcl|NC_013967.1_cds_WP_004044619.1_1374	21.2218843299778	39.4653870113018	-0.420646253095728	0.948238944393604	-0.895035135388223	953	0.051761055606396	lcl|NC_013967.1_cds_WP_004044619.1_1374
lcl|NC_013967.1_cds_WP_004043441.1_2504	106.257767807287	106.241386487146	0.000147607095317023	0.00425798019332979	0.000222431467609618	992	0.99574201980667	lcl|NC_013967.1_cds_WP_004043441.1_2504
lcl|NC_013966.1_cds_WP_004043113.1_648	3.36827669025814	29.9308469196545	-0.865712537001039	0.98945495416853	-3.15155054181293	437	0.0105450458314704	lcl|NC_013966.1_cds_WP_004043113.1_648
lcl|NC_013967.1_cds_WP_004043445.1_2501	4.6581375591856	3.86953723538086	0.0581203067039579	0.173089806243139	0.267592202017789	566	0.826910193756861	lcl|NC_013967.1_cds_WP_004043445.1_2501
lcl|NC_013967.1_cds_2494	4.13971625459122	1.58024500010342	0.313674128780952	0.888988126491521	1.38938363537409	777	0.111011873508479	lcl|NC_013967.1_cds_2494
lcl|NC_013967.1_cds_WP_004042036.1_3131	161.708570635248	165.63731096335	-0.0298944770147978	0.0881612673144485	-0.0346315421999134	1157	0.911838732685551	lcl|NC_013967.1_cds_WP_004042036.1_3131
