	t00_mean	t24_mean	theta	prob	log2FC	length	P	locus_tag
HVO_RS00390	15.7097032473933	14.4547695041446	0.044900033592386	0.0376244186508683	0.120110324945641	1031	0.962375581349132	HVO_RS00390
HVO_RS01805	371.472594191094	479.773924764827	-0.188135833872853	0.397277833858286	-0.369098972483965	737	0.602722166141714	HVO_RS01805
HVO_RS01800	4214.82576019475	7198.58428799466	-0.511259820241705	0.858109214787242	-0.772240214583779	194	0.141890785212758	HVO_RS01800
HVO_RS01295	110.178252158837	148.53180642824	-0.183446279372578	0.383555252874834	-0.430932419514499	1307	0.616444747125166	HVO_RS01295
HVO_RS01105	168.968293679797	107.764735673428	0.246739619213485	0.547107496239992	0.648867399234023	410	0.452892503760008	HVO_RS01105
HVO_RS00980	505.370098360196	126.746579399145	0.624717257857876	0.884113922573398	1.99539349299993	422	0.115886077426602	HVO_RS00980
HVO_RS03945	802.617343095823	1170.47381206428	-0.359024587759085	0.727050782481091	-0.544308420680644	584	0.272949217518909	HVO_RS03945
HVO_RS03970	67.9223601167499	116.135496040196	-0.206393029661285	0.451062018372578	-0.77385049513393	1190	0.548937981627422	HVO_RS03970
HVO_RS04250	101.432992433408	41.27194114485	0.371262529799422	0.765444168107937	1.29729378508759	1217	0.234555831892063	HVO_RS04250
HVO_RS04680	240.486718100162	101.719278931607	0.366784232042529	0.761043181271946	1.24136407704848	431	0.238956818728054	HVO_RS04680
HVO_RS02705	296.931382550591	51.6045737002053	0.649305897474032	0.886796433566748	2.52455873708213	437	0.113203566433252	HVO_RS02705
HVO_RS02765	241.558424917989	303.475914128703	-0.112500363710991	0.187689961539908	-0.329209848101221	1022	0.812310038460092	HVO_RS02765
HVO_RS03020	141.940913992762	145.29770848685	-0.0160399856077969	0.0044137704337196	-0.0337214488239257	767	0.99558622956628	HVO_RS03020
HVO_RS03045	66.6344970636442	20.5732621813644	0.458628848413354	0.839253219812742	1.69549869056458	1436	0.160746780187258	HVO_RS03045
HVO_RS03505	563.865879799101	431.291719611905	0.180799707863639	0.356199838397391	0.386688028409871	494	0.643800161602609	HVO_RS03505
HVO_RS03525	201.489775065983	25.7598199551549	0.725839893109798	0.905460772541938	2.96751221357483	1103	0.0945392274580621	HVO_RS03525
HVO_RS02300	130.191488617159	120.834059665727	0.0463243066612818	0.0398712911826128	0.107607967673087	740	0.960128708817387	HVO_RS02300
HVO_RS02080	332.165404098522	312.278218551131	0.0449414561944278	0.0376886888734381	0.0890698759480152	572	0.962311311126562	HVO_RS02080
HVO_RS02060	275.628885860801	238.143644653102	0.0896224031989947	0.127255201478301	0.210895042194583	1040	0.872744798521699	HVO_RS02060
HVO_RS02050	219.3448591589	73.5130850367644	0.417392558922341	0.806251886473648	1.57712792204579	980	0.193748113526352	HVO_RS02050
HVO_RS02405	2847.01331907409	6549.66806145961	-0.959349465220819	0.887893834762018	-1.2019725500166	284	0.112106165237982	HVO_RS02405
HVO_RS03700	3710.62272558621	7821.13995458603	-0.765423211159414	0.918639420341862	-1.0757175762848	284	0.0813605796581378	HVO_RS03700
HVO_RS02975	36.7665858201056	76.4216533797653	-0.264194577161694	0.604132864047869	-1.05558625795257	1385	0.395867135952131	HVO_RS02975
HVO_RS02980	1167.64513991421	1119.22742939542	0.0529590728998529	0.0510175852452388	0.0610986652745661	323	0.948982414754761	HVO_RS02980
HVO_RS03050	1162.18025877759	1516.97897167449	-0.299488987693348	0.665687320674714	-0.384367233286915	443	0.334312679325286	HVO_RS03050
HVO_RS01895	81.4263563265534	63.9418413424459	0.101372737495075	0.154687144125599	0.348735555715459	1352	0.845312855874401	HVO_RS01895
HVO_RS02410	189.613661712015	176.404578425536	0.0415233385590661	0.0325185336485458	0.104174909260511	683	0.967481466351454	HVO_RS02410
HVO_RS19875	136.177288421751	35.247297362114	0.496547317233539	0.864761232962194	1.94990156535372	1340	0.135238767037806	HVO_RS19875
HVO_RS03495	463.204766328718	509.474328534324	-0.0675917676746789	0.0783033342946861	-0.137359354912494	284	0.921696665705314	HVO_RS03495
HVO_RS20065	854.131010098934	1137.5667740841	-0.319441456532175	0.689655479049843	-0.413421954236881	485	0.310344520950157	HVO_RS20065
HVO_RS20150	276.940690905471	579.653728676059	-0.442472608770606	0.810543527822246	-1.06561428140731	1115	0.189456472177754	HVO_RS20150
HVO_RS20155	244.22069155275	455.418696746058	-0.384891279180428	0.75156778585212	-0.899008083477856	914	0.24843221414788	HVO_RS20155
HVO_RS12045	130.714002585764	170.382470145339	-0.159011789824077	0.313606965457076	-0.382363214617572	941	0.686393034542924	HVO_RS12045
HVO_RS12620	62.2098021387366	67.7138173983297	-0.0428466643568558	0.0327464144420681	-0.122308336456015	557	0.967253585557932	HVO_RS12620
HVO_RS13065	885.116393893723	690.587868952343	0.232104631551	0.505557442367017	0.358042192187466	368	0.494442557632983	HVO_RS13065
HVO_RS13570	75.8427203015312	33.5451902053003	0.322132436431355	0.707667259319	1.17690478730212	1799	0.292332740681	HVO_RS13570
HVO_RS13900	91.4284558542746	71.7105869762527	0.114854989954619	0.186895447071453	0.35045712763272	1568	0.813104552928547	HVO_RS13900
HVO_RS14410	260.531339537462	37.608381139734	0.704003886438384	0.900562529756194	2.79233081423006	803	0.0994374702438058	HVO_RS14410
HVO_RS14555	544.299522511099	1257.8682018528	-0.584833380213862	0.872314129805463	-1.2085080904549	1079	0.127685870194537	HVO_RS14555
HVO_RS20240	296.769819719559	641.24115698834	-0.464127026821493	0.83026761181349	-1.11152264221	1418	0.16973238818651	HVO_RS20240
HVO_RS15595	282.093472481493	291.868329493133	-0.0228673552461872	0.00922742049615355	-0.0491443901318097	1157	0.990772579503846	HVO_RS15595
HVO_RS15620	535.748535353892	379.061152985241	0.236933801155194	0.51947891474227	0.499125387276685	500	0.48052108525773	HVO_RS15620
HVO_RS16300	805.25147626876	736.146525345217	0.0859093428824242	0.118771469508725	0.129446446248451	416	0.881228530491275	HVO_RS16300
HVO_RS16580	288.582503530871	258.844262012205	0.0651599163836193	0.0740736640680423	0.156899496030486	869	0.925926335931958	HVO_RS16580
HVO_RS16585	228.355445139533	213.184710174573	0.0406729720429037	0.0312811872933458	0.0991772209708401	1145	0.968718812706654	HVO_RS16585
HVO_RS17290	145.360225050565	24.5385244509012	0.61381149265345	0.883896484713253	2.56651215363632	1220	0.116103515286747	HVO_RS17290
HVO_RS18275	9341.90881743163	22161.44723341	-1.02051713279088	0.898568763436129	-1.246262829607	218	0.101431236563871	HVO_RS18275
HVO_RS11115	1296.65069119382	1243.78534276378	0.0459542512519789	0.0392831472596615	0.0600523586595665	389	0.960716852740338	HVO_RS11115
HVO_RS10905	54.2240641973276	159.066522425735	-0.370772745276842	0.737934464988804	-1.55262507898843	731	0.262065535011196	HVO_RS10905
HVO_RS10150	110.813720032898	56.3716051090443	0.284776215877904	0.641127716773105	0.975095962878524	2273	0.358872283226895	HVO_RS10150
HVO_RS09760	304.373431069509	108.572458795147	0.415400839720322	0.804592565200048	1.48718424463766	680	0.195407434799952	HVO_RS09760
HVO_RS06910	1140.3880547004	593.935815003823	0.426633224615273	0.813880767709191	0.941145896061923	206	0.186119232290809	HVO_RS06910
HVO_RS06800	4439.05845622005	9743.49684490189	-0.949351438986478	0.88570484716179	-1.13418592718616	164	0.11429515283821	HVO_RS06800
HVO_RS06545	916.907006692389	153.643272676591	0.816587251817557	0.922032263788318	2.57719082274978	233	0.0779677362116818	HVO_RS06545
HVO_RS06285	300.515875517955	592.928135550793	-0.370951029898371	0.738102548287533	-0.980416049937858	938	0.261897451712467	HVO_RS06285
HVO_RS04825	467.391990656749	628.081289322008	-0.215063636545641	0.476438866855928	-0.426318279821516	860	0.523561133144072	HVO_RS04825
HVO_RS04920	36.2316552823225	47.4020725771447	-0.135586993956556	0.249183992837144	-0.387699421576004	1043	0.750816007162856	HVO_RS04920
HVO_RS04925	94.4746475183541	32.4720930406124	0.404474610102937	0.795380088427656	1.54072685201611	875	0.204619911572344	HVO_RS04925
HVO_RS04930	1198.96785258378	1491.60022253172	-0.219334749641501	0.488794616618448	-0.315067940558936	179	0.511205383381552	HVO_RS04930
HVO_RS04940	77.7016710883548	158.132414313225	-0.322111262862521	0.692456529872148	-1.02511559330725	1217	0.307543470127852	HVO_RS04940
HVO_RS05635	1868.40784682691	2620.90271089957	-0.377955748438592	0.744788238236136	-0.48825439195698	269	0.255211761763864	HVO_RS05635
HVO_RS05640	591.778308702846	357.24397493266	0.280441792323461	0.63171263798536	0.728147136457294	407	0.36828736201464	HVO_RS05640
HVO_RS20265	260.488837829058	330.528980658011	-0.167917179819819	0.338763474482432	-0.343555219139227	1232	0.661236525517568	HVO_RS20265
HVO_RS12745	429.094597955188	243.262955652361	0.332106685129999	0.721525956379005	0.818779096699985	650	0.278474043620995	HVO_RS12745
HVO_RS20390	136.500080039021	112.704195127642	0.115002535504849	0.187251112606208	0.27636057992165	2507	0.812748887393792	HVO_RS20390
HVO_RS19435	288.148330799556	288.646255696099	-0.00123488772875996	0	-0.0024908484727137	1166	1	HVO_RS19435
HVO_RS19465	149.502651595541	184.487092829575	-0.133720230314558	0.244143036282553	-0.30334881287668	1154	0.755856963717447	HVO_RS19465
HVO_RS19470	151.037848981348	95.2179219534225	0.233389049931341	0.509276818043301	0.665605074879356	554	0.490723181956699	HVO_RS19470
HVO_RS19545	80.6138816629488	48.7458393563467	0.214150243790644	0.452817830392595	0.725749206799293	1190	0.547182169607405	HVO_RS19545
HVO_RS19360	87.3824746063987	128.992029740854	-0.210706635830053	0.463725282514001	-0.561866058528097	899	0.536274717485999	HVO_RS19360
