new	old	category	prot	de00	de02	de04	de08	de24	de00_probability	de02_probability	de04_probability	de08_probability	de24_probability
HVO_RS00740	HVO_B0152A	Other Transposase	transposase	0.227794045	-0.335756845	-0.336460776	-0.358831041	-0.278289388	0.781289657191654	0.803138578075682	0.876980914324388	0.853335980597695	0.748388695609671
HVO_RS01190	HVO_B0242	IS200-IS605 Family Transposase	IS200/IS605 family transposase ISHvo18	0.647373008	1.169441491	1.481480083	1.686018483	1.405806307	0.832974183707914	0.984179362821102	0.992618440221952	0.997574294140025	0.992707272559342
HVO_RS01185	HVO_B0241	Other Transposase	transposase	-0.484472691	-0.402498082	0.366777625	0.677620743	0.554607163	0.830728949671175	0.603576694234023	0.795552328153082	0.910867634300415	0.817934681727739
HVO_RS00765	HVO_B0155	Other Transposase	ISNCY family transposase ISHvo14	1.720008287	3.191812447	3.220192177	2.901715951	2.516827506	0.894062184512465	0.996362692154834	0.991969665782804	0.98519725781984	0.929359180400173
HVO_RS00775	HVO_B0157	IS4 Family Transposase	IS4 family transposase	0.410535396	0.822322552	0.148674489	0.65710608	0.296850388	0.624867521037301	0.873785382793253	0.357502372092455	0.813103922851541	0.458759743515196
HVO_RS00735	HVO_B0152	IS4 Family Transposase	IS4 family transposase	0.871122895	2.549322432	2.354172322	2.381640186	0.975341834	0.830873888559645	0.992394385691328	0.987170169862869	0.981486222207438	0.802314544215147
HVO_RS01150	HVO_B0234	IS4 Family Transposase	IS4 family transposase	0.395390774	0.078619818	0.938963896	-0.711083474	-0.797459714	0.33844843798246	0.0651973567645548	0.839065386420318	0.632025150079078	0.83553647337554
HVO_RS19775	HVO_A0100	IS630 Family Transposase	IS630 family transposase	1.370182554	2.276118817	2.727250194	2.284977943	3.438938389	0.904889355618223	0.98289985130049	0.989756148852547	0.97808276839958	0.993751026476744
HVO_RS19810	HVO_A0134	IS5 Family Transposase	IS5/IS1182 family transposase	0.463392664	1.543147943	3.627233096	2.974011027	2.659438452	0.3818184404263	0.907754551826854	0.996690203676378	0.988325426801429	0.976921614902815
HVO_RS03015	HVO_A0265	IS6 Family Transposase	IS6 family transposase	NA	1.710026583	1.03756523	2.410297003	1.16331979	NA	0.984700803761303	0.92155852641565	0.996421747957627	0.775668185895301
HVO_RS03235	HVO_A0309	Other Transposase	transposase	2.127018847	3.065250927	3.538709138	3.220089439	2.653248264	0.926921540281986	0.977928959230715	0.98712728731546	0.999699124964376	0.962016601280056
HVO_RS19915	HVO_RS19915	Other Transposase	transposase	0.602196008	1.493347694	1.583353059	1.791614143	1.050054354	0.734958619278927	0.972823713862632	0.982424123334883	0.976752430951049	0.902338367177384
HVO_RS19935	HVO_A0353	ISH3 Family Transposase	ISH3 family transposase	0.361658252	0.800083689	1.066889319	0.768263605	-0.259300341	0.868328922167199	0.987554757827845	0.997302228850268	0.990605109706622	0.462739613861594
HVO_RS03435	HVO_A0354	ISH3 Family Transposase	ISH3 family transposase	0.264703727	0.995323561	1.095256785	0.828925624	0.8646129	0.7560493306547	0.997473496121879	0.995130798800464	0.991018585159745	0.995422613102547
HVO_RS19970	HVO_A0403	IS630 Family Transposase	IS630 family transposase	1.498928132	2.615888819	3.139604858	2.735201864	2.535241681	0.932455481318637	0.99698875406319	0.997862774304608	0.992189178370143	0.988532802912263
HVO_RS03670	HVO_A0408	ISH3 Family Transposase	ISH3 family transposase	-0.491250471	0.899940979	0.347618244	0.341996245	-0.495707762	0.784779623456256	0.896437572407922	0.555743094157581	0.506917938477581	0.45249113804749
HVO_RS04000	HVO_A0483	ISH3 Family Transposase	ISH3 family transposase	-1.297651424	0.225542764	-0.27638877	-0.417715613	0.088472943	0.957473769231447	0.54638148148067	0.380454549710118	0.464809731573469	0.104271459833271
HVO_RS02920	HVO_A0240	IS5 Family Transposase	IS5 family transposase ISHvo3	0.262831533	0.094889058	0.436521316	0.104084108	0.184976187	0.640133913392578	0.459658394021209	0.951778744900481	0.42897280529328	0.637201955108273
HVO_RS01900	HVO_A0008	Other Transposase	transposase	-0.442940524	-1.041317755	-0.808602413	-0.819422582	-0.7163041	0.843596106314302	0.955722718458558	0.935754327282012	0.921230935608285	0.866155752291188
HVO_RS02175	HVO_A0066	Other Transposase	transposase	-1.167702392	-0.171957922	0.675867941	-0.032999931	0.0134751	0.923370333915142	0.114897943715305	0.876241002724668	0.00206643870497358	0.0119751958775749
HVO_RS02130	HVO_A0057	IS5 Family Transposase	IS5 family transposase ISHvo2	1.261246249	2.829736009	2.79354705	2.723885566	2.325153975	0.893401050290217	0.992520289205387	0.992674437282178	0.985658633285622	0.974861505041772
HVO_RS01940	HVO_A0018	Other Transposase	transposase	-0.832221249	-0.439939139	-0.360729936	-0.300504248	-0.497667512	0.798414268096143	0.309346618086427	0.406012570513233	0.0714752717029669	0.313102965086033
HVO_RS02155	HVO_A0062	IS1595 Family Transposase	IS1595 family transposase ISHvo6	0.098540964	-0.009271911	1.34297407	1.555128683	1.399703355	0.0110405284230316	0.0255217356449307	0.947289526511474	0.965558274631889	0.913082085524563
HVO_RS01935	HVO_A0016	IS110 Family Transposase	IS110 family transposase ISHvo10	-0.710876416	-1.081396853	-1.343457396	-1.487795552	-1.073190554	0.964967607614351	0.996531147582756	0.997944439250672	0.999804236796988	0.986925897566108
HVO_RS01930	HVO_A0014	IS110 Family Transposase	IS110 family transposase ISHvo9	-0.566905441	-1.043065899	-1.197183046	-0.960380302	-0.637533105	0.942432639476276	0.993158531346011	0.995040314657478	0.983010922500786	0.952318100278497
HVO_RS02535	HVO_A0151	IS4 Family Transposase	IS4 family transposase	0.308052252	1.030755236	1.333637675	0.926872509	0.12041748	0.433186082754567	0.972100392261453	0.987700990133592	0.93115543707373	0.12063396695682
HVO_RS03480	HVO_A0364	ISH3 Family Transposase	ISH3 family transposase ISHvo20	-0.569699355	-1.414139746	-1.233915443	-1.099163277	-0.899154394	0.996193465513196	1	1	1	0.99377516215311
HVO_RS03835	HVO_A0449	IS4 Family Transposase	IS4 family transposase	-0.099888222	1.373907772	1.529021696	1.35499373	0.566678095	0.229949943660618	0.991826888950737	0.992173868589974	0.984047184986238	0.831651682575706
HVO_RS02430	HVO_A0125	IS4 Family Transposase	IS4 family transposase	0.608556883	1.891188128	0.489363903	2.121004162	1.396661188	0.657397884809351	0.976440900955654	0.545472841444929	0.977227520396277	0.924309197798072
HVO_RS02220	HVO_A0077	IS4 Family Transposase	IS4 family transposase	2.213507249	2.786592485	2.153245927	2.739235061	1.706281041	0.976124103561514	0.996856045655737	0.97534297609297	0.997954980390909	0.971949964373564
HVO_RS02240	HVO_A0081	IS4 Family Transposase	IS4 family transposase	0.245061637	-1.105450254	-1.661848418	-0.281086272	0.097498777	0.28787068506729	0.912459626155897	0.935079803899776	0.273745764424144	0.0855512504949322
HVO_RS02500	HVO_A0144	IS4 Family Transposase	IS4 family transposase	0.928266575	1.638547829	1.304348453	1.60022435	0.686872039	0.880308637822862	0.992822774257027	0.963067119476026	0.978854261108073	0.669728344620515
HVO_RS03730	HVO_A0423	IS4 Family Transposase	IS4 family transposase	-1.563244811	0.614675858	1.650220896	0.027644682	-1.000762154	0.90099351590205	0.535962025786911	0.954128296857574	0.0442255788081057	0.69424813801804
HVO_RS01895	HVO_A0007	IS4 Family Transposase	IS4 family transposase ISHvo11	0.288161743	3.49101652	3.896195734	3.784499526	3.075579687	0.091940173763067	0.991392565385815	0.995697931444352	0.990523682356988	0.97721203228024
HVO_RS03440	HVO_A0355	IS4 Family Transposase	IS4 family transposase ISHvo11	-0.530466389	0.291825916	0.564232738	-0.20670138	-1.148216032	0.767406019983989	0.270745714334706	0.737154744307009	0.06323411681235	0.745130741063323
HVO_RS02400	HVO_A0117	IS5 Family Transposase	IS5 family transposase ISHvo1	-0.147897295	0.736142555	0.681062346	0.811649107	0.733236916	0.317108932985415	0.918018887168243	0.924344526442771	0.95079629331299	0.9066338244062
HVO_RS02380	HVO_A0110	IS4 Family Transposase	IS4 family transposase	-0.342508644	1.263938028	1.385982447	0.601321551	-0.079226996	0.878525036950402	0.996386057448773	0.995335446314241	0.975705742756212	0.0116091944175655
HVO_RS03005	HVO_A0262	IS4 Family Transposase	IS4 family transposase	-0.157220361	1.356668629	1.394200395	0.901058628	0.752190921	0.17453408182101	0.991480879741743	0.988121964972415	0.965945090573062	0.91963025433044
HVO_RS02395	HVO_A0116	IS4 Family Transposase	IS4 family transposase ISHvo13	0.220052205	0.465496924	1.057499809	0.961771391	0.776856003	0.000166526490002927	0.661016582071717	0.935414439827257	0.902237839894523	0.777381135551168
HVO_RS03490	HVO_A0367	IS4 Family Transposase	IS4 family transposase	0.04847147	1.343596034	1.347714174	0.805985311	0.546219175	0.00638473945901752	0.975759811939087	0.984078628355012	0.889347840977342	0.726110444706337
HVO_RS19920	HVO_A0349	ISH3 Family Transposase	ISH3 family transposase ISHvo22	0.470541688	2.010332177	2.559268524	1.908031197	0.614840897	0.348212508155888	0.983064049088489	0.992882886201086	0.972761380500376	0.675542615220126
HVO_RS03720	HVO_A0420	IS4 Family Transposase	IS4 family transposase	-0.668909697	1.016783906	1.016660821	0.233629916	0.421177374	0.840068595780558	0.902512968604026	0.934488977031631	0.310368626864126	0.406062846001516
HVO_RS03765	HVO_A0431	IS4 Family Transposase	IS4 family transposase	1.183262576	2.11728911	1.757645403	1.907360567	1.610594155	0.877437529333888	0.971297691619241	0.942960708707596	0.970472613027514	0.96051441343909
HVO_RS07375	HVO_0556	IS110 Family Transposase	IS110 family transposase	-0.635920242	-1.481205241	-1.588325497	-1.530952002	-0.789881224	0.946405767479454	0.998097616897485	0.998771423818607	0.999754506576667	0.963052220310887
HVO_RS09115	HVO_0922	IS4 Family Transposase	IS4 family transposase	-0.998319798	-0.409915734	-0.039976502	0.96926624	0.419924361	0.905684371345227	0.419278898463168	0.00338765619391146	0.970417496377852	0.655186850141706
HVO_RS10235	HVO_1151	Other Transposase	transposase	-0.558049056	-1.30529702	-1.494806625	-1.342999209	-1.46501711	0.962291690258335	0.997837273592731	0.998091348950112	0.998999762728176	0.990830220338905
HVO_RS12025	HVO_RS12025	IS4 Family Transposase	IS4 family transposase	0.336308597	1.148249524	0.733875625	1.384594833	-0.529672581	0.116120818160363	0.966351983217688	0.887925369699872	0.966269640481963	0.126173261777741
HVO_RS20195	HVO_1837	ISH3 Family Transposase	ISH3 family transposase	0.607814964	-0.967318004	-0.688156236	-1.093393069	-0.276969832	0.72877727227209	0.899633738437676	0.88228906997889	0.931377847341031	0.328821152878091
HVO_RS14565	HVO_2050	ISH3 Family Transposase	ISH3 family transposase	0.702108796	0.247622696	0.097556492	0.185998842	0.373544935	0.794312149946704	0.378172167387551	0.135152539513265	0.197898538975551	0.449844536320019
HVO_RS14680	HVO_2075	Other Transposase	transposase	-0.461543543	-1.17373506	-1.60643332	-1.628208149	-1.041251761	0.88347070713141	0.982374753832569	0.995579983460555	0.987393578735028	0.96322329494541
HVO_RS20245	HVO_2090A	Other Transposase	transposase	2.449258957	2.461747077	2.368940341	4.735164373	3.986118747	0.932223168971391	0.957110325108533	0.960043624545507	0.998665625288235	0.997803814970743
HVO_RS16425	HVO_2434	Other Transposase	transposase	0.329615572	0.653026718	0.991062966	0.803307808	0.898695966	0.589062442968887	0.922986641073374	0.986515360805395	0.965499283368556	0.963621881900861
HVO_RS10230	HVO_1150	IS200-IS605 Family Transposase	IS200/IS605 family transposase	-0.32064069	-0.978243774	-0.557630472	-0.930618781	-0.5385041	0.947234538432394	1	1	1	0.981008475909551
HVO_RS08840	HVO_0864	IS5 Family Transposase	IS5 family transposase ISHvo7	0.671062355	1.365673819	1.235969456	1.218520526	1.134193225	0.578300219683692	0.928369965946141	0.937553758865359	0.911311986090356	0.866896207550211
HVO_RS15525	HVO_2252	IS4 Family Transposase	IS4 family transposase	-0.300383467	0.381484039	0.598294925	0.534299699	0.416000984	0.593834479931492	0.862352394360995	0.952956518269323	0.931273181991705	0.793918665846173
HVO_RS06035	HVO_0275	IS4 Family Transposase	IS4 family transposase	1.123469327	1.227101424	0.6586371	0.975140998	1.195037224	0.907306193276571	0.95076210587518	0.876666575267974	0.915103733488717	0.940964781902818
HVO_RS13510	HVO_1835	IS4 Family Transposase	IS4 family transposase	-1.240066263	0.119570118	0.428400839	-0.290835169	-1.225136603	0.912648770156261	0.213061298205751	0.723000604451066	0.248917216288711	0.907714117434079
HVO_RS13560	HVO_1845	IS4 Family Transposase	IS4 family transposase	0.767386304	0.557913596	0.452704852	0.191636585	-0.276634431	0.864627865621028	0.805367378776095	0.798921119113934	0.335216097033008	0.223271210505668
HVO_RS12020	HVO_1519	IS4 Family Transposase	IS4 family transposase	-0.194546134	1.295459459	1.038486784	0.858927258	-0.177295847	0.25013978761078	0.964140270715249	0.946720598661752	0.888178943200078	0.0853511108125603
