	X00_mean	p0_mean	theta	prob	log2FC	length	P	ncbi_id
lcl|NC_013967.1_cds_WP_004044465.1_1518	453958.133457112	733406.260934101	-2.06349359189136	0.999999999999999	-0.692053331790708	182	1.4432899320127e-15	lcl|NC_013967.1_cds_WP_004044465.1_1518
lcl|NC_013967.1_cds_WP_004044599.1_1393	1.95210612230592	1.97936192864766	-0.0102120195039307	0.000750783215421214	-0.0200039507505428	1763	0.999249216784579	lcl|NC_013967.1_cds_WP_004044599.1_1393
lcl|NC_013967.1_cds_WP_013035363.1_2537	1.63158806587801	1.47054997058821	0.0762687448698472	0.196938352422709	0.14992105069177	3164	0.803061647577291	lcl|NC_013967.1_cds_WP_013035363.1_2537
lcl|NC_013967.1_cds_WP_004044266.1_1713	165.287826599558	303.988078083852	-0.869538225148653	0.966653861036499	-0.879034270162174	1034	0.0333461389635007	lcl|NC_013967.1_cds_WP_004044266.1_1713
lcl|NC_013967.1_cds_WP_004044470.1_1514	3084.2184381687	2678.6904837488	0.296977983201658	0.843069066930712	0.203377056134487	218	0.156930933069288	lcl|NC_013967.1_cds_WP_004044470.1_1514
lcl|NC_013968.1_cds_WP_013035733.1_9	113.627500026069	248.186809760421	-0.758566681517424	0.960008198604049	-1.12711440656772	281	0.0399918013959515	lcl|NC_013968.1_cds_WP_013035733.1_9
lcl|NC_013967.1_cds_WP_004042010.1_3105	21.1506286767498	8.63601676045608	0.688460518912535	0.938813747486045	1.2922625979365	1751	0.0611862525139555	lcl|NC_013967.1_cds_WP_004042010.1_3105
lcl|NC_013967.1_cds_WP_004041407.1_2536	24.7274159813895	10.4659694787967	0.595951067059572	0.936902378456813	1.24040552892362	941	0.0630976215431873	lcl|NC_013967.1_cds_WP_004041407.1_2536
lcl|NC_013964.1_cds_WP_004041341.1_280	1265.81748430701	348.508852258925	3.7797163724132	1	1.86080219376661	371	0	lcl|NC_013964.1_cds_WP_004041341.1_280
lcl|NC_013967.1_cds_WP_004045250.1_1213	2.08075156809271	2.81307140685677	-0.222946970060268	0.765709611298779	-0.435041450029387	827	0.234290388701221	lcl|NC_013967.1_cds_WP_004045250.1_1213
lcl|NC_013967.1_cds_WP_004044472.1_1512	2.89187194352233	5.25148996268748	-0.320861870746372	0.874249514375203	-0.860723136050838	443	0.125750485624797	lcl|NC_013967.1_cds_WP_004044472.1_1512
lcl|NC_013967.1_cds_WP_004041763.1_2865	3.19847871154771	2.13807288259212	0.182705172479328	0.628511734472031	0.58107484853711	1076	0.371488265527969	lcl|NC_013967.1_cds_WP_004041763.1_2865
