	X00_mean	X04_mean	theta	prob	log2FC	length	P	ncbi_id
lcl|NC_013967.1_cds_WP_004044527.1_1459	8.25190651997665	11.5686262505687	-0.213963244070059	0.663075657630468	-0.487418174533965	1082	0.336924342369532	lcl|NC_013967.1_cds_WP_004044527.1_1459
lcl|NC_013967.1_cds_WP_004041797.1_2896	69.0500655102444	35.7364363657054	0.55080301843516	0.949897934053222	0.950247007090563	908	0.0501020659467776	lcl|NC_013967.1_cds_WP_004041797.1_2896
lcl|NC_013967.1_cds_WP_004045093.1_1141	217.975931628641	127.426713015821	0.765798537759139	0.972423852751471	0.774501097191651	419	0.0275761472485286	lcl|NC_013967.1_cds_WP_004045093.1_1141
lcl|NC_013967.1_cds_WP_004043468.1_2478	2.67463704740273	1.63272237777928	0.148427394397693	0.44532162592406	0.712063627637789	533	0.55467837407594	lcl|NC_013967.1_cds_WP_004043468.1_2478
lcl|NC_013967.1_cds_WP_004043621.1_2332	103.072115863103	388.460193709988	-1.45388911326677	0.992889473696065	-1.914112677695	224	0.00711052630393505	lcl|NC_013967.1_cds_WP_004043621.1_2332
lcl|NC_013964.1_cds_WP_004041100.1_141	0.839776526684421	4.24423462592582	-0.73823190992496	0.968551592371107	-2.33742704437491	1220	0.0314484076288933	lcl|NC_013964.1_cds_WP_004041100.1_141
lcl|NC_013967.1_cds_WP_004045074.1_1132	5.72203074219163	7.71310262263947	-0.206566424096824	0.645125796420998	-0.430784057334598	1784	0.354874203579002	lcl|NC_013967.1_cds_WP_004045074.1_1132
lcl|NC_013967.1_cds_WP_004041489.1_2603	26.1130610092886	6.40458417651609	0.531960932472901	0.944514224808093	2.02759477185492	392	0.0554857751919067	lcl|NC_013967.1_cds_WP_004041489.1_2603
lcl|NC_013967.1_cds_WP_004043870.1_2092	19.1150764078219	21.6830435830875	-0.0681853113347631	0.118810022173693	-0.181856310631478	473	0.881189977826307	lcl|NC_013967.1_cds_WP_004043870.1_2092
lcl|NC_013967.1_cds_WP_004045066.1_1129	2.64658855800946	0.982697726066015	0.467312067332339	0.923451352067955	1.42931430645079	1214	0.0765486479320452	lcl|NC_013967.1_cds_WP_004045066.1_1129
lcl|NC_013967.1_cds_WP_004045062.1_1128	26.8451892674305	78.6487540844301	-0.948843027042417	0.981889959979348	-1.55076033493431	1217	0.0181100400206524	lcl|NC_013967.1_cds_WP_004045062.1_1128
lcl|NC_013967.1_cds_WP_004041492.1_2605	44.3537649423263	172.214026205185	-1.42104236366157	0.990976362577141	-1.95707417264967	434	0.0090236374228595	lcl|NC_013967.1_cds_WP_004041492.1_2605
lcl|NC_013966.1_cds_WP_004040855.1_953	76.8261909187864	342.525664560689	-2.13343627237348	0.999999999999968	-2.15654195852893	872	3.23074900165921e-14	lcl|NC_013966.1_cds_WP_004040855.1_953
lcl|NC_013966.1_cds_575	243.831312131678	306.68570134593	-0.445110951614389	0.915821284903568	-0.330877500486202	299	0.0841787150964318	lcl|NC_013966.1_cds_575
lcl|NC_013967.1_cds_WP_004045057.1_1125	291.344982013279	600.989771267415	-1.08881625448519	0.98801259515996	-1.04461197413847	179	0.0119874048400405	lcl|NC_013967.1_cds_WP_004045057.1_1125
lcl|NC_013967.1_cds_WP_049914914.1_1278	48.9844162283134	6.59989982301389	1.33665397044108	0.994736069048455	2.89180681534955	2366	0.00526393095154476	lcl|NC_013967.1_cds_WP_049914914.1_1278
lcl|NC_013967.1_cds_WP_004045051.1_1123	5.5340733349317	18.4269523659616	-0.809096849104723	0.976401577732188	-1.73540381623307	1043	0.0235984222678115	lcl|NC_013967.1_cds_WP_004045051.1_1123
lcl|NC_013967.1_cds_WP_004043495.1_2452	2744.05900797148	1386.50040993044	4.14888812801077	1	0.984863462492398	323	0	lcl|NC_013967.1_cds_WP_004043495.1_2452
lcl|NC_013967.1_cds_WP_004045045.1_1120	1.45497663429752	2.72757431986915	-0.254344747662891	0.742059620939794	-0.90662252222065	1145	0.257940379060206	lcl|NC_013967.1_cds_WP_004045045.1_1120
lcl|NC_013967.1_cds_WP_004042093.1_3179	4.33186628616962	2.37614992743933	0.267456827706739	0.775530527846651	0.866362842821222	1175	0.224469472153349	lcl|NC_013967.1_cds_WP_004042093.1_3179
lcl|NC_013967.1_cds_WP_004042229.1_3314	1.06231786811447	0.655491779914364	0.210065573180482	0.635547747273973	0.696565922003501	1820	0.364452252726027	lcl|NC_013967.1_cds_WP_004042229.1_3314
lcl|NC_013967.1_cds_WP_004044228.1_1749	0.957646381125493	1.97080723278295	-0.36053406091964	0.874416602234365	-1.04122173911608	992	0.125583397765635	lcl|NC_013967.1_cds_WP_004044228.1_1749
lcl|NC_013967.1_cds_WP_004045044.1_1119	1.76751044140245	4.8287328740923	-0.397673381039361	0.89317602724033	-1.44992591806161	899	0.10682397275967	lcl|NC_013967.1_cds_WP_004045044.1_1119
lcl|NC_013967.1_cds_WP_004044637.1_1357	7.64230369128497	2.38223222247544	0.550739858506185	0.949880355764929	1.68169353344768	1172	0.0501196442350706	lcl|NC_013967.1_cds_WP_004044637.1_1357
lcl|NC_013967.1_cds_WP_004041683.1_2788	16.6174024604564	25.5319764005955	-0.36032421239704	0.87429112501652	-0.619610333712001	1232	0.12570887498348	lcl|NC_013967.1_cds_WP_004041683.1_2788
lcl|NC_013967.1_cds_WP_004045042.1_1117	37.6975717331535	21.7027239756176	0.449342931178122	0.915839224818909	0.796595465011737	2204	0.0841607751810906	lcl|NC_013967.1_cds_WP_004045042.1_1117
lcl|NC_013964.1_cds_WP_004041072.1_169	37.5956217933981	32.1936279397697	0.127069659616624	0.359565871584657	0.223789497242798	869	0.640434128415343	lcl|NC_013964.1_cds_WP_004041072.1_169
lcl|NC_013967.1_cds_WP_004044438.1_1545	2.93472474645675	1.33948603363473	0.41593061891783	0.899494488186457	1.13154565773781	872	0.100505511813543	lcl|NC_013967.1_cds_WP_004044438.1_1545
lcl|NC_013967.1_cds_WP_004043538.1_2413	4.13991923695844	9.08669734742896	-0.389655920887306	0.889375344662232	-1.13415340411997	1559	0.110624655337768	lcl|NC_013967.1_cds_WP_004043538.1_2413
lcl|NC_013967.1_cds_WP_004045040.1_1115	28.3197985593693	62.5873438066971	-0.534245303973508	0.94794294311825	-1.14405994644561	497	0.0520570568817496	lcl|NC_013967.1_cds_WP_004045040.1_1115
lcl|NC_013964.1_cds_WP_004041298.1_325	80.0223035086498	96.7582731396841	-0.134687082839458	0.414595326982828	-0.273982863079867	275	0.585404673017172	lcl|NC_013964.1_cds_WP_004041298.1_325
lcl|NC_013967.1_cds_WP_004041779.1_2879	516.434201509997	820.649400597496	-1.57092496225809	0.994654694004288	-0.668181454579366	197	0.0053453059957117	lcl|NC_013967.1_cds_WP_004041779.1_2879
lcl|NC_013967.1_cds_WP_004045037.1_1114	284.48207204123	553.031388142322	-0.669550560830103	0.963462303070245	-0.959023627878112	194	0.0365376969297546	lcl|NC_013967.1_cds_WP_004045037.1_1114
lcl|NC_013967.1_cds_WP_004041993.1_3088	16.7848389608935	22.2945379368154	-0.179329113037944	0.570008097106687	-0.409531604107117	764	0.429991902893313	lcl|NC_013967.1_cds_WP_004041993.1_3088
lcl|NC_013966.1_cds_WP_013035217.1_874	18.3848692260885	38.7222424373022	-0.528723988150533	0.946542400122218	-1.07464358819834	1013	0.0534575998777822	lcl|NC_013966.1_cds_WP_013035217.1_874
lcl|NC_013967.1_cds_WP_004042203.1_3287	23.5277574900716	15.5814716090047	0.322828695303981	0.834190453914746	0.59453232225015	1385	0.165809546085254	lcl|NC_013967.1_cds_WP_004042203.1_3287
lcl|NC_013967.1_cds_WP_004044248.1_1730	8.61142641193779	6.45215296347374	0.18426838741575	0.564846918902404	0.416471586599443	1334	0.435153081097596	lcl|NC_013967.1_cds_WP_004044248.1_1730
lcl|NC_013967.1_cds_WP_004043616.1_2337	272.011609473537	820.916218453129	-1.49419154253909	0.989196914716113	-1.59356676299332	311	0.0108030852838867	lcl|NC_013967.1_cds_WP_004043616.1_2337
lcl|NC_013967.1_cds_WP_004043945.1_2024	539.50611654354	255.624854283474	1.34669582456073	0.995154236445754	1.07761120041478	188	0.00484576355424604	lcl|NC_013967.1_cds_WP_004043945.1_2024
lcl|NC_013966.1_cds_WP_004043073.1_604	1.91089232586911	12.6663891565238	-0.640601434929861	0.966034663447639	-2.72868691655786	395	0.0339653365523606	lcl|NC_013966.1_cds_WP_004043073.1_604
lcl|NC_013967.1_cds_WP_004044695.1_3836	75.6490433489255	93.0097241318153	-0.166444977162894	0.529682025483187	-0.298059718967884	998	0.470317974516813	lcl|NC_013967.1_cds_WP_004044695.1_3836
lcl|NC_013967.1_cds_WP_004045034.1_1113	113.165523163402	23.362621977191	1.37980789855959	0.995961830893716	2.27616039435529	1190	0.00403816910628352	lcl|NC_013967.1_cds_WP_004045034.1_1113
lcl|NC_013967.1_cds_WP_004042043.1_3138	40099.9122846231	11228.7995615182	1.34247633607431	0.994972752685536	1.83639537927422	179	0.00502724731446369	lcl|NC_013967.1_cds_WP_004042043.1_3138
lcl|NC_013967.1_cds_WP_004045023.1_1110	1.17929952945174	9.68874321840124	-1.13657174785683	0.991769088315574	-3.0383793437045	1085	0.00823091168442591	lcl|NC_013967.1_cds_WP_004045023.1_1110
lcl|NC_013966.1_cds_715	1.2801066621828	1.7647855613079	-0.127664304084186	0.385378171996802	-0.463228867850218	676	0.614621828003198	lcl|NC_013966.1_cds_715
lcl|NC_013966.1_cds_WP_004043308.1_475	50.486948293184	62.2263260014833	-0.173257184204111	0.551404622469532	-0.301614592743468	878	0.448595377530468	lcl|NC_013966.1_cds_WP_004043308.1_475
